Name,OtherName,RAJ2000,DEJ2000,RA1,DE1
"MG85"," ",91.04224999999998,-70.07302777777777,91.16937499999999,-70.06766666666665
"MG86"," ",91.24458333333332,-72.06472222222222,91.46374999999999,-72.05816666666665
"Mo01"," ",68.71583333333332,-68.26744444444444,68.72770833333333,-68.3685
"Mo02"," ",68.69445833333333,-69.38877777777776,68.74545833333332,-69.4898611111111
"Mo03"," ",69.06004166666666,-70.51749999999998,69.15666666666665,-70.61680555555554
"Mo04"," ",70.05125,-64.92572222222222,69.97099999999999,-65.02091666666666
"Mo05"," ",71.33295833333332,-67.57594444444443,71.33291666666666,-67.66508333333333
"Mo06"," ",71.63779166666666,-70.21288888888888,71.73358333333333,-70.30038888888888
"Mo07"," ",72.33274999999999,-64.37658333333333,72.24612499999999,-64.46130555555554
"Mo08"," ",72.60145833333333,-64.36419444444444,72.51533333333332,-64.44766666666666
"Mo09"," ",73.04745833333332,-70.21288888888888,73.14887499999999,-70.2938611111111
"Mo10"," ",73.93929166666666,-65.80963888888888,73.89524999999999,-65.88677777777777
"Mo11"," ",74.51345833333332,-70.4191111111111,74.628875,-70.49322222222222
"Mo12"," ",74.65416666666665,-69.59624999999998,74.73691666666666,-69.66977777777777
"Mo13"," ",74.78779166666665,-69.84188888888887,74.880625,-69.91474999999998
"Mo14"," ",75.40208333333332,-70.44219444444444,75.52154166666665,-70.5121111111111
"Mo15"," ",75.64104166666665,-73.79749999999999,75.93133333333333,-73.86588888888888
"Mo16"," ",76.56220833333332,-69.8068611111111,76.65924999999999,-69.8713611111111
"Mo17"," ",76.85633333333332,-67.48041666666666,76.87066666666665,-67.54372222222221
"Mo18"," ",77.29662499999999,-67.56713888888888,77.31487499999999,-67.6283611111111
"Mo19"," ",77.75191666666666,-70.08466666666666,77.86362499999998,-70.14347222222221
"Mo20"," ",77.79512499999998,-71.17399999999999,77.95424999999999,-71.23249999999999
"Mo21"," ",79.76708333333332,-64.74391666666666,79.70779166666665,-64.79355555555554
"Mo22"," ",80.36099999999999,-62.57013888888888,80.24966666666666,-62.61702777777777
"Mo23"," ",80.46799999999999,-69.72166666666666,80.57154166666666,-69.76752777777777
"Mo24"," ",80.72166666666665,-71.09463888888888,80.88454166666665,-71.13916666666665
"Mo25"," ",81.51066666666665,-72.5173611111111,81.74566666666665,-72.55791666666666
"Mo26"," ",82.00633333333332,-70.22502777777777,82.13349999999998,-70.26344444444443
"Mo27"," ",82.319375,-69.62169444444443,82.42233333333333,-69.65869444444444
"Mo28"," ",82.32679166666665,-70.39713888888888,82.46183333333332,-70.43399999999998
"Mo29"," ",82.92875,-62.168805555555544,82.81174999999999,-62.20338888888888
"Mo30"," ",82.89708333333333,-69.3962222222222,82.99208333333333,-69.43044444444443
"Mo31"," ",83.18070833333333,-62.5443611111111,83.07241666666665,-62.57769444444443
"Mo32","?LM2-33",83.02174999999998,-69.9576111111111,83.13945833333332,-69.99119444444443
"Mo33"," ",83.03866666666666,-70.41152777777776,83.17549999999999,-70.44494444444443
"Mo34"," ",83.80754166666665,-70.02199999999999,83.92899999999999,-70.05174999999998
"Mo35"," ",84.52020833333331,-70.4905,84.6625,-70.51677777777776
"Mo36"," ",84.72316666666666,-69.96547222222222,84.84341666666666,-69.99080555555554
"Mo37"," ",84.81029166666666,-70.00516666666665,84.93229166666666,-70.03008333333332
"Mo38"," ",85.13441666666665,-68.74655555555555,85.20749999999998,-68.77002777777777
"Mo39"," ",85.67120833333333,-70.0969722222222,85.79787499999999,-70.11769444444444
"Mo40"," ",86.60537499999998,-71.38952777777777,86.79058333333332,-71.40558333333333
"Mo41"," ",88.80708333333332,-65.47299999999998,88.77654166666666,-65.47888888888887
"Mo42"," ",88.81087499999998,-66.84016666666666,88.82104166666666,-66.84594444444444
"Mo43"," ",89.69208333333331,-64.51249999999999,89.6355,-64.51413888888888
"Mo44"," ",90.43058333333332,-68.00972222222221,90.47933333333332,-68.00752777777777
"Mo45"," ",92.32137499999999,-68.73116666666665,92.39516666666665,-68.71972222222222
"Mo46"," ",92.54004166666665,-67.172,92.55999999999999,-67.15963888888888
"Mo47"," ",93.26408333333332,-65.91924999999999,93.24516666666665,-65.90347222222222
"Mo48"," ",93.42133333333332,-64.01258333333332,93.350625,-63.99616666666666
"Mo49","?LM1-64",95.26995833333332,-66.13344444444444,95.25558333333332,-66.10791666666665
"Mo50"," ",95.31245833333332,-68.96266666666666,95.39208333333332,-68.93672222222222
"Mo51"," ",96.26824999999998,-69.12691666666666,96.35274999999999,-69.09633333333332
"Mo52"," ",96.64991666666666,-69.82727777777777,96.76129166666665,-69.79477777777777
"Mo53"," ",99.57766666666666,-69.40480555555554,99.66662499999998,-69.35827777777777
"Mo54"," ",100.35258333333331,-67.02477777777777,100.35716666666666,-66.97474999999999
"SMP026","N101",76.87820833333332,-69.13527777777777,76.95024999999998,-69.19833333333332
